ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency_bits,efficiency_frames,throughput
60,KB2,ARQ,Default,200,0.0005,1,25,0,0.2019,0.888889,1,7924.72
61,KB2,ARQ,Default,200,0.0005,1,25,0,0.2411,0.888889,1,6636.25
62,KB2,ARQ,Default,200,0.0005,1,25,3,0.2169,0.793651,0.892857,7376.67
63,KB2,ARQ,Default,200,0.0005,1,25,4,0.2227,0.766284,0.862069,7184.55
64,KB2,ARQ,Default,200,0.0005,1,25,1,0.2051,0.854701,0.961538,7801.07
65,KB2,ARQ,Default,200,0.0005,1,25,1,0.2062,0.854701,0.961538,7759.46
66,KB2,ARQ,Default,200,0.0005,1,25,0,0.2035,0.888889,1,7862.41
67,KB2,ARQ,Default,200,0.0005,1,25,0,0.2039,0.888889,1,7846.98
68,KB2,ARQ,Default,200,0.0005,1,25,1,0.2661,0.854701,0.961538,6012.78
69,KB2,ARQ,Default,200,0.0005,1,25,5,0.2202,0.740741,0.833333,7266.12
70,KB2,ARQ,Default,200,0.0005,1,25,1,0.2021,0.854701,0.961538,7916.87
71,KB2,ARQ,Default,200,0.0005,1,25,2,0.2117,0.823045,0.925926,7557.86
72,KB2,ARQ,Default,200,0.0005,1,25,1,0.2047,0.854701,0.961538,7816.32
73,KB2,ARQ,Default,200,0.0005,1,25,0,0.2033,0.888889,1,7870.14
74,KB2,ARQ,Default,200,0.0005,1,25,0,0.2096,0.888889,1,7633.59
75,KB2,ARQ,Default,200,0.0005,1,25,0,0.2047,0.888889,1,7816.32
76,KB2,ARQ,Default,200,0.0005,1,25,2,0.2182,0.823045,0.925926,7332.72
77,KB2,ARQ,Default,200,0.0005,1,25,0,0.2002,0.888889,1,7992.01
78,KB2,ARQ,Default,200,0.0005,1,25,0,0.2028,0.888889,1,7889.55
79,KB2,ARQ,Default,200,0.0005,1,25,4,0.2442,0.766284,0.862069,6552.01
80,KB2,ARQ,Default,200,0.0005,1,25,2,0.2155,0.823045,0.925926,7424.59
81,KB2,ARQ,Default,200,0.0005,1,25,0,0.238,0.888889,1,6722.69
82,KB2,ARQ,Default,200,0.0005,1,25,0,0.291,0.888889,1,5498.28
83,KB2,ARQ,Default,200,0.0005,1,25,1,0.2143,0.854701,0.961538,7466.17
84,KB2,ARQ,Default,200,0.0005,1,25,0,0.2035,0.888889,1,7862.41
85,KB2,ARQ,Default,200,0.0005,1,25,2,0.2163,0.823045,0.925926,7397.13
86,KB2,ARQ,Default,200,0.0005,1,25,0,0.2004,0.888889,1,7984.03
87,KB2,ARQ,Default,200,0.0005,1,25,1,0.2028,0.854701,0.961538,7889.55
88,KB2,ARQ,Default,200,0.0005,1,25,0,0.2002,0.888889,1,7992.01
89,KB2,ARQ,Default,200,0.0005,1,25,0,0.2054,0.888889,1,7789.68
90,KB2,ARQ,Default,200,0.0005,1,25,0,0.2105,0.888889,1,7600.95
91,KB2,ARQ,Default,200,0.0005,1,25,1,0.2137,0.854701,0.961538,7487.13
92,KB2,ARQ,Default,200,0.0005,1,25,0,0.1994,0.888889,1,8024.07
93,KB2,ARQ,Default,200,0.0005,1,25,0,0.2055,0.888889,1,7785.89
94,KB2,ARQ,Default,200,0.0005,1,25,0,0.2032,0.888889,1,7874.02
95,KB2,ARQ,Default,200,0.0005,1,25,1,0.2049,0.854701,0.961538,7808.69
96,KB2,ARQ,Default,200,0.0005,1,25,3,0.2168,0.793651,0.892857,7380.07
97,KB2,ARQ,Default,200,0.0005,1,25,2,0.2134,0.823045,0.925926,7497.66
98,KB2,ARQ,Default,200,0.0005,1,25,0,0.2026,0.888889,1,7897.33
99,KB2,ARQ,Default,200,0.0005,1,25,0,0.2022,0.888889,1,7912.96
100,KB2,ARQ,Default,200,0.0005,1,25,0,0.203,0.888889,1,7881.77
101,KB2,ARQ,Default,200,0.0005,1,25,0,0.2033,0.888889,1,7870.14
102,KB2,ARQ,Default,200,0.0005,1,25,0,0.199,0.888889,1,8040.2
103,KB2,ARQ,Default,200,0.0005,1,25,1,0.205,0.854701,0.961538,7804.88
104,KB2,ARQ,Default,200,0.0005,1,25,0,0.2013,0.888889,1,7948.34
105,KB2,ARQ,Default,200,0.0005,1,25,4,0.2188,0.766284,0.862069,7312.61
106,KB2,ARQ,Default,200,0.0005,1,25,0,0.1986,0.888889,1,8056.39
107,KB2,ARQ,Default,200,0.0005,1,25,1,0.2057,0.854701,0.961538,7778.32
108,KB2,ARQ,Default,200,0.0005,1,25,0,0.2007,0.888889,1,7972.1
109,KB2,ARQ,Default,200,0.0005,1,25,1,0.2066,0.854701,0.961538,7744.43
110,KB2,ARQ,Default,200,0.0005,1,25,1,0.2023,0.854701,0.961538,7909.05
111,KB2,ARQ,Default,200,0.0005,1,25,3,0.2194,0.793651,0.892857,7292.62
112,KB2,ARQ,Default,200,0.0005,1,25,0,0.2004,0.888889,1,7984.03
113,KB2,ARQ,Default,200,0.0005,1,25,3,0.2163,0.793651,0.892857,7397.13
114,KB2,ARQ,Default,200,0.0005,1,25,1,0.2045,0.854701,0.961538,7823.96
115,KB2,ARQ,Default,200,0.0005,1,25,2,0.2112,0.823045,0.925926,7575.76
116,KB2,ARQ,Default,200,0.0005,1,25,0,0.2006,0.888889,1,7976.07
117,KB2,ARQ,Default,200,0.0005,1,25,1,0.2063,0.854701,0.961538,7755.7
118,KB2,ARQ,Default,200,0.0005,1,25,1,0.2035,0.854701,0.961538,7862.41
119,KB2,ARQ,Default,200,0.0005,1,25,0,0.2021,0.888889,1,7916.87
120,KB2,ARQ,Default,200,0.0005,1,25,0,0.1996,0.888889,1,8016.03
121,KB2,ARQ,Default,200,0.0005,1,25,1,0.2025,0.854701,0.961538,7901.23
122,KB2,ARQ,Default,200,0.0005,1,25,2,0.2111,0.823045,0.925926,7579.35
123,KB2,ARQ,Default,200,0.0005,1,25,1,0.206,0.854701,0.961538,7766.99
124,KB2,ARQ,Default,200,0.0005,1,25,1,0.206,0.854701,0.961538,7766.99
125,KB2,ARQ,Default,200,0.0005,1,25,1,0.207,0.854701,0.961538,7729.47
126,KB2,ARQ,Default,200,0.0005,1,25,3,0.2164,0.793651,0.892857,7393.72
127,KB2,ARQ,Default,200,0.0005,1,25,1,0.2051,0.854701,0.961538,7801.07
128,KB2,ARQ,Default,200,0.0005,1,25,0,0.2026,0.888889,1,7897.33
129,KB2,ARQ,Default,200,0.0005,1,25,2,0.2153,0.823045,0.925926,7431.49
130,KB2,ARQ,Default,200,0.0005,1,25,2,0.2103,0.823045,0.925926,7608.18
131,KB2,ARQ,Default,200,0.0005,1,25,3,0.2163,0.793651,0.892857,7397.13
132,KB2,ARQ,Default,200,0.0005,1,25,1,0.2053,0.854701,0.961538,7793.47
133,KB2,ARQ,Default,200,0.0005,1,25,1,0.2082,0.854701,0.961538,7684.92
134,KB2,ARQ,Default,200,0.0005,1,25,0,0.2029,0.888889,1,7885.66
135,KB2,ARQ,Default,200,0.0005,1,25,4,0.219,0.766284,0.862069,7305.94
136,KB2,ARQ,Default,200,0.0005,1,25,0,0.2086,0.888889,1,7670.18
137,KB2,ARQ,Default,200,0.0005,1,25,0,0.1996,0.888889,1,8016.03
138,KB2,ARQ,Default,200,0.0005,1,25,0,0.2,0.888889,1,8000
139,KB2,ARQ,Default,200,0.0005,1,25,0,0.229,0.888889,1,6986.9
140,KB2,ARQ,Default,200,0.0005,1,25,1,0.2072,0.854701,0.961538,7722.01
141,KB2,ARQ,Default,200,0.0005,1,25,0,0.2182,0.888889,1,7332.72
142,KB2,ARQ,Default,200,0.0005,1,25,1,0.2065,0.854701,0.961538,7748.18
143,KB2,ARQ,Default,200,0.0005,1,25,1,0.2093,0.854701,0.961538,7644.53
144,KB2,ARQ,Default,200,0.0005,1,25,0,0.2021,0.888889,1,7916.87
145,KB2,ARQ,Default,200,0.0005,1,25,0,0.1998,0.888889,1,8008.01
146,KB2,ARQ,Default,200,0.0005,1,25,0,0.1999,0.888889,1,8004
147,KB2,ARQ,Default,200,0.0005,1,25,0,0.2037,0.888889,1,7854.69
148,KB2,ARQ,Default,200,0.0005,1,25,1,0.2051,0.854701,0.961538,7801.07
149,KB2,ARQ,Default,200,0.0005,1,25,2,0.2101,0.823045,0.925926,7615.42
150,KB2,ARQ,Default,200,0.0005,1,25,4,0.2203,0.766284,0.862069,7262.82
151,KB2,ARQ,Default,200,0.0005,1,25,1,0.2018,0.854701,0.961538,7928.64
152,KB2,ARQ,Default,200,0.0005,1,25,1,0.2033,0.854701,0.961538,7870.14
153,KB2,ARQ,Default,200,0.0005,1,25,0,0.2032,0.888889,1,7874.02
154,KB2,ARQ,Default,200,0.0005,1,25,1,0.2084,0.854701,0.961538,7677.54
155,KB2,ARQ,Default,200,0.0005,1,25,0,0.1987,0.888889,1,8052.34
156,KB2,ARQ,Default,200,0.0005,1,25,0,0.1999,0.888889,1,8004
157,KB2,ARQ,Default,200,0.0005,1,25,0,0.2031,0.888889,1,7877.89
158,KB2,ARQ,Default,200,0.0005,1,25,1,0.2044,0.854701,0.961538,7827.79
159,KB2,ARQ,Default,200,0.0005,1,25,0,0.1989,0.888889,1,8044.24
160,KB2,ARQ,Default,200,0.0005,1,25,0,0.2006,0.888889,1,7976.07
161,KB2,ARQ,Default,200,0.0005,1,25,1,0.2045,0.854701,0.961538,7823.96
162,KB2,ARQ,Default,200,0.0005,1,25,1,0.2048,0.854701,0.961538,7812.5
163,KB2,ARQ,Default,200,0.0005,1,25,1,0.2034,0.854701,0.961538,7866.27
164,KB2,ARQ,Default,200,0.0005,1,25,0,0.1986,0.888889,1,8056.39
165,KB2,ARQ,Default,200,0.0005,1,25,3,0.2197,0.793651,0.892857,7282.66
166,KB2,ARQ,Default,200,0.0005,1,25,4,0.2169,0.766284,0.862069,7376.67
167,KB2,ARQ,Default,200,0.0005,1,25,2,0.2129,0.823045,0.925926,7515.27
168,KB2,ARQ,Default,200,0.0005,1,25,1,0.2056,0.854701,0.961538,7782.1
169,KB2,ARQ,Default,200,0.0005,1,25,1,0.2067,0.854701,0.961538,7740.69
170,KB2,ARQ,Default,200,0.0005,1,25,0,0.2,0.888889,1,8000
171,KB2,ARQ,Default,200,0.0005,1,25,0,0.2033,0.888889,1,7870.14
172,KB2,ARQ,Default,200,0.0005,1,25,2,0.2135,0.823045,0.925926,7494.15
173,KB2,ARQ,Default,200,0.0005,1,25,0,0.2019,0.888889,1,7924.72
174,KB2,ARQ,Default,200,0.0005,1,25,3,0.2147,0.793651,0.892857,7452.26
175,KB2,ARQ,Default,200,0.0005,1,25,2,0.2098,0.823045,0.925926,7626.31
176,KB2,ARQ,Default,200,0.0005,1,25,0,0.2016,0.888889,1,7936.51
177,KB2,ARQ,Default,200,0.0005,1,25,0,0.2035,0.888889,1,7862.41
178,KB2,ARQ,Default,200,0.0005,1,25,1,0.2019,0.854701,0.961538,7924.72
179,KB2,ARQ,Default,200,0.0005,1,25,1,0.2029,0.854701,0.961538,7885.66
180,KB2,ARQ,Default,200,0.0005,1,25,1,0.2049,0.854701,0.961538,7808.69
181,KB2,ARQ,Default,200,0.0005,1,25,3,0.2168,0.793651,0.892857,7380.07
182,KB2,ARQ,Default,200,0.0005,1,25,3,0.2147,0.793651,0.892857,7452.26
183,KB2,ARQ,Default,200,0.0005,1,25,2,0.212,0.823045,0.925926,7547.17
184,KB2,ARQ,Default,200,0.0005,1,25,1,0.2037,0.854701,0.961538,7854.69
185,KB2,ARQ,Default,200,0.0005,1,25,0,0.1991,0.888889,1,8036.16
186,KB2,ARQ,Default,200,0.0005,1,25,0,0.1993,0.888889,1,8028.1
187,KB2,ARQ,Default,200,0.0005,1,25,1,0.2186,0.854701,0.961538,7319.3
188,KB2,ARQ,Default,200,0.0005,1,25,1,0.2029,0.854701,0.961538,7885.66
189,KB2,ARQ,Default,200,0.0005,1,25,0,0.2028,0.888889,1,7889.55
190,KB2,ARQ,Default,200,0.0005,1,25,0,0.1987,0.888889,1,8052.34
191,KB2,ARQ,Default,200,0.0005,1,25,2,0.2136,0.823045,0.925926,7490.64
192,KB2,ARQ,Default,200,0.0005,1,25,0,0.2,0.888889,1,8000
