ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
59,KB1,ARQ,Default,200,0,1,25,0,0.2028,0.888889,7889.55
60,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
61,KB1,ARQ,Default,200,0,1,25,0,0.1999,0.888889,8004
62,KB1,ARQ,Default,200,0,1,25,0,0.2081,0.888889,7688.61
63,KB1,ARQ,Default,200,0,1,25,0,0.2104,0.888889,7604.56
64,KB1,ARQ,Default,200,0,1,25,0,0.2052,0.888889,7797.27
65,KB1,ARQ,Default,200,0,1,25,0,0.2036,0.888889,7858.55
66,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
67,KB1,ARQ,Default,200,0,1,25,0,0.2014,0.888889,7944.39
68,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
69,KB1,ARQ,Default,200,0,1,25,0,0.2009,0.888889,7964.16
70,KB1,ARQ,Default,200,0,1,25,0,0.2051,0.888889,7801.07
71,KB1,ARQ,Default,200,0,1,25,0,0.2043,0.888889,7831.62
72,KB1,ARQ,Default,200,0,1,25,0,0.2024,0.888889,7905.14
73,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
74,KB1,ARQ,Default,200,0,1,25,0,0.2149,0.888889,7445.32
75,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
76,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
77,KB1,ARQ,Default,200,0,1,25,0,0.2034,0.888889,7866.27
78,KB1,ARQ,Default,200,0,1,25,0,0.2014,0.888889,7944.39
79,KB1,ARQ,Default,200,0,1,25,0,0.2002,0.888889,7992.01
80,KB1,ARQ,Default,200,0,1,25,0,0.199,0.888889,8040.2
81,KB1,ARQ,Default,200,0,1,25,0,0.203,0.888889,7881.77
82,KB1,ARQ,Default,200,0,1,25,0,0.2033,0.888889,7870.14
83,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
84,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
85,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
86,KB1,ARQ,Default,200,0,1,25,0,0.2013,0.888889,7948.34
87,KB1,ARQ,Default,200,0,1,25,0,0.2007,0.888889,7972.1
88,KB1,ARQ,Default,200,0,1,25,0,0.2023,0.888889,7909.05
89,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
90,KB1,ARQ,Default,200,0,1,25,0,0.2019,0.888889,7924.72
91,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
92,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
93,KB1,ARQ,Default,200,0,1,25,0,0.2024,0.888889,7905.14
94,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
95,KB1,ARQ,Default,200,0,1,25,0,0.1997,0.888889,8012.02
96,KB1,ARQ,Default,200,0,1,25,0,0.2031,0.888889,7877.89
97,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
98,KB1,ARQ,Default,200,0,1,25,0,0.2056,0.888889,7782.1
99,KB1,ARQ,Default,200,0,1,25,0,0.2032,0.888889,7874.02
100,KB1,ARQ,Default,200,0,1,25,0,0.2049,0.888889,7808.69
101,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
102,KB1,ARQ,Default,200,0,1,25,0,0.1995,0.888889,8020.05
103,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
104,KB1,ARQ,Default,200,0,1,25,0,0.2023,0.888889,7909.05
105,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
106,KB1,ARQ,Default,200,0,1,25,0,0.1999,0.888889,8004
107,KB1,ARQ,Default,200,0,1,25,0,0.2011,0.888889,7956.24
108,KB1,ARQ,Default,200,0,1,25,0,0.2291,0.888889,6983.85
109,KB1,ARQ,Default,200,0,1,25,0,0.2031,0.888889,7877.89
110,KB1,ARQ,Default,200,0,1,25,0,0.2289,0.888889,6989.95
111,KB1,ARQ,Default,200,0,1,25,0,0.2031,0.888889,7877.89
112,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
113,KB1,ARQ,Default,200,0,1,25,0,0.1996,0.888889,8016.03
114,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
115,KB1,ARQ,Default,200,0,1,25,0,0.2022,0.888889,7912.96
116,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
117,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
118,KB1,ARQ,Default,200,0,1,25,0,0.2049,0.888889,7808.69
119,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
120,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
121,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
122,KB1,ARQ,Default,200,0,1,25,0,0.2033,0.888889,7870.14
123,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
124,KB1,ARQ,Default,200,0,1,25,0,0.1999,0.888889,8004
125,KB1,ARQ,Default,200,0,1,25,0,0.2004,0.888889,7984.03
126,KB1,ARQ,Default,200,0,1,25,0,0.2014,0.888889,7944.39
127,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
128,KB1,ARQ,Default,200,0,1,25,0,0.2025,0.888889,7901.23
129,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
130,KB1,ARQ,Default,200,0,1,25,0,0.2013,0.888889,7948.34
131,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
132,KB1,ARQ,Default,200,0,1,25,0,0.2007,0.888889,7972.1
133,KB1,ARQ,Default,200,0,1,25,0,0.2027,0.888889,7893.44
134,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
135,KB1,ARQ,Default,200,0,1,25,0,0.2021,0.888889,7916.87
136,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
137,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
138,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
139,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
140,KB1,ARQ,Default,200,0,1,25,0,0.2027,0.888889,7893.44
141,KB1,ARQ,Default,200,0,1,25,0,0.1994,0.888889,8024.07
142,KB1,ARQ,Default,200,0,1,25,0,0.2014,0.888889,7944.39
143,KB1,ARQ,Default,200,0,1,25,0,0.1995,0.888889,8020.05
144,KB1,ARQ,Default,200,0,1,25,0,0.2114,0.888889,7568.59
145,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
146,KB1,ARQ,Default,200,0,1,25,0,0.2043,0.888889,7831.62
147,KB1,ARQ,Default,200,0,1,25,0,0.2033,0.888889,7870.14
148,KB1,ARQ,Default,200,0,1,25,0,0.2009,0.888889,7964.16
149,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
150,KB1,ARQ,Default,200,0,1,25,0,0.2025,0.888889,7901.23
151,KB1,ARQ,Default,200,0,1,25,0,0.2023,0.888889,7909.05
152,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
153,KB1,ARQ,Default,200,0,1,25,0,0.2013,0.888889,7948.34
154,KB1,ARQ,Default,200,0,1,25,0,0.1991,0.888889,8036.16
155,KB1,ARQ,Default,200,0,1,25,0,0.2025,0.888889,7901.23
156,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
157,KB1,ARQ,Default,200,0,1,25,0,0.2007,0.888889,7972.1
158,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
159,KB1,ARQ,Default,200,0,1,25,0,0.2014,0.888889,7944.39
160,KB1,ARQ,Default,200,0,1,25,0,0.1996,0.888889,8016.03
161,KB1,ARQ,Default,200,0,1,25,0,0.2023,0.888889,7909.05
162,KB1,ARQ,Default,200,0,1,25,0,0.2038,0.888889,7850.83
163,KB1,ARQ,Default,200,0,1,25,0,0.2013,0.888889,7948.34
164,KB1,ARQ,Default,200,0,1,25,0,0.2004,0.888889,7984.03
165,KB1,ARQ,Default,200,0,1,25,0,0.1992,0.888889,8032.13
166,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
167,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
168,KB1,ARQ,Default,200,0,1,25,0,0.2022,0.888889,7912.96
169,KB1,ARQ,Default,200,0,1,25,0,0.1999,0.888889,8004
170,KB1,ARQ,Default,200,0,1,25,0,0.2104,0.888889,7604.56
171,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
172,KB1,ARQ,Default,200,0,1,25,0,0.2053,0.888889,7793.47
173,KB1,ARQ,Default,200,0,1,25,0,0.203,0.888889,7881.77
174,KB1,ARQ,Default,200,0,1,25,0,0.2011,0.888889,7956.24
175,KB1,ARQ,Default,200,0,1,25,0,0.2036,0.888889,7858.55
176,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
177,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
178,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
179,KB1,ARQ,Default,200,0,1,25,0,0.2021,0.888889,7916.87
180,KB1,ARQ,Default,200,0,1,25,0,0.2024,0.888889,7905.14
181,KB1,ARQ,Default,200,0,1,25,0,0.2069,0.888889,7733.2
182,KB1,ARQ,Default,200,0,1,25,0,0.1993,0.888889,8028.1
183,KB1,ARQ,Default,200,0,1,25,0,0.2089,0.888889,7659.17
184,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
185,KB1,ARQ,Default,200,0,1,25,0,0.2187,0.888889,7315.96
186,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
187,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
188,KB1,ARQ,Default,200,0,1,25,0,0.203,0.888889,7881.77
189,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
190,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
191,KB1,ARQ,Default,200,0,1,25,0,0.2,0.888889,8000
192,KB1,ARQ,Default,200,0,1,25,0,0.2024,0.888889,7905.14
193,KB1,ARQ,Default,200,0,1,25,0,0.1999,0.888889,8004
194,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
195,KB1,ARQ,Default,200,0,1,25,0,0.217,0.888889,7373.27
196,KB1,ARQ,Default,200,0,1,25,0,0.2568,0.888889,6230.53
197,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
198,KB1,ARQ,Default,200,0,1,25,0,0.2011,0.888889,7956.24
199,KB1,ARQ,Default,200,0,1,25,0,0.3168,0.888889,5050.51
200,KB1,ARQ,Default,200,0,1,25,0,0.2025,0.888889,7901.23
201,KB1,ARQ,Default,200,0,1,25,0,0.2019,0.888889,7924.72
202,KB1,ARQ,Default,200,0,1,25,0,0.2038,0.888889,7850.83
203,KB1,ARQ,Default,200,0,1,25,0,0.2013,0.888889,7948.34
204,KB1,ARQ,Default,200,0,1,25,0,0.2031,0.888889,7877.89
205,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
206,KB1,ARQ,Default,200,0,1,25,0,0.2036,0.888889,7858.55
207,KB1,ARQ,Default,200,0,1,25,0,0.2046,0.888889,7820.14
208,KB1,ARQ,Default,200,0,1,25,0,0.2028,0.888889,7889.55
209,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
210,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
211,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
212,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
213,KB1,ARQ,Default,200,0,1,25,0,0.2044,0.888889,7827.79
214,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
215,KB1,ARQ,Default,200,0,1,25,0,0.1996,0.888889,8016.03
216,KB1,ARQ,Default,200,0,1,25,0,0.2004,0.888889,7984.03
217,KB1,ARQ,Default,200,0,1,25,0,0.2025,0.888889,7901.23
218,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
219,KB1,ARQ,Default,200,0,1,25,0,0.2065,0.888889,7748.18
220,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
221,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
222,KB1,ARQ,Default,200,0,1,25,0,0.1995,0.888889,8020.05
223,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
224,KB1,ARQ,Default,200,0,1,25,0,0.2022,0.888889,7912.96
225,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
226,KB1,ARQ,Default,200,0,1,25,0,0.2011,0.888889,7956.24
227,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
228,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
229,KB1,ARQ,Default,200,0,1,25,0,0.2026,0.888889,7897.33
230,KB1,ARQ,Default,200,0,1,25,0,0.2013,0.888889,7948.34
231,KB1,ARQ,Default,200,0,1,25,0,0.1999,0.888889,8004
232,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
233,KB1,ARQ,Default,200,0,1,25,0,0.2035,0.888889,7862.41
234,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
235,KB1,ARQ,Default,200,0,1,25,0,0.2027,0.888889,7893.44
236,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
237,KB1,ARQ,Default,200,0,1,25,0,0.2007,0.888889,7972.1
238,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
239,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
240,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
241,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
242,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
243,KB1,ARQ,Default,200,0,1,25,0,0.2,0.888889,8000
244,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
245,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
246,KB1,ARQ,Default,200,0,1,25,0,0.203,0.888889,7881.77
247,KB1,ARQ,Default,200,0,1,25,0,0.2118,0.888889,7554.3
248,KB1,ARQ,Default,200,0,1,25,0,0.2024,0.888889,7905.14
249,KB1,ARQ,Default,200,0,1,25,0,0.2007,0.888889,7972.1
250,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
251,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
252,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
253,KB1,ARQ,Default,200,0,1,25,0,0.2009,0.888889,7964.16
254,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
255,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
256,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
257,KB1,ARQ,Default,200,0,1,25,0,0.1983,0.888889,8068.58
258,KB1,ARQ,Default,200,0,1,25,0,0.2622,0.888889,6102.21
259,KB1,ARQ,Default,200,0,1,25,0,0.2098,0.888889,7626.31
260,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
261,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
262,KB1,ARQ,Default,200,0,1,25,0,0.2034,0.888889,7866.27
263,KB1,ARQ,Default,200,0,1,25,0,0.2022,0.888889,7912.96
264,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
265,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
266,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
267,KB1,ARQ,Default,200,0,1,25,0,0.1994,0.888889,8024.07
268,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
269,KB1,ARQ,Default,200,0,1,25,0,0.2019,0.888889,7924.72
270,KB1,ARQ,Default,200,0,1,25,0,0.2025,0.888889,7901.23
271,KB1,ARQ,Default,200,0,1,25,0,0.2004,0.888889,7984.03
272,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
273,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
274,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
275,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
276,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
277,KB1,ARQ,Default,200,0,1,25,0,0.1996,0.888889,8016.03
278,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
279,KB1,ARQ,Default,200,0,1,25,0,0.2011,0.888889,7956.24
280,KB1,ARQ,Default,200,0,1,25,0,0.2031,0.888889,7877.89
281,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
282,KB1,ARQ,Default,200,0,1,25,0,0.2014,0.888889,7944.39
283,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
284,KB1,ARQ,Default,200,0,1,25,0,0.2071,0.888889,7725.74
285,KB1,ARQ,Default,200,0,1,25,0,0.2048,0.888889,7812.5
286,KB1,ARQ,Default,200,0,1,25,0,0.2036,0.888889,7858.55
287,KB1,ARQ,Default,200,0,1,25,0,0.204,0.888889,7843.14
288,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
289,KB1,ARQ,Default,200,0,1,25,0,0.1994,0.888889,8024.07
290,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
291,KB1,ARQ,Default,200,0,1,25,0,0.2045,0.888889,7823.96
292,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
293,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
294,KB1,ARQ,Default,200,0,1,25,0,0.204,0.888889,7843.14
295,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
296,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
297,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
298,KB1,ARQ,Default,200,0,1,25,0,0.2061,0.888889,7763.22
299,KB1,ARQ,Default,200,0,1,25,0,0.2012,0.888889,7952.29
300,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
301,KB1,ARQ,Default,200,0,1,25,0,0.2009,0.888889,7964.16
302,KB1,ARQ,Default,200,0,1,25,0,0.2038,0.888889,7850.83
303,KB1,ARQ,Default,200,0,1,25,0,0.2019,0.888889,7924.72
304,KB1,ARQ,Default,200,0,1,25,0,0.2011,0.888889,7956.24
305,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
306,KB1,ARQ,Default,200,0,1,25,0,0.2009,0.888889,7964.16
307,KB1,ARQ,Default,200,0,1,25,0,0.2004,0.888889,7984.03
308,KB1,ARQ,Default,200,0,1,25,0,0.1998,0.888889,8008.01
309,KB1,ARQ,Default,200,0,1,25,0,0.2019,0.888889,7924.72
310,KB1,ARQ,Default,200,0,1,25,0,0.2026,0.888889,7897.33
311,KB1,ARQ,Default,200,0,1,25,0,0.2011,0.888889,7956.24
312,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
313,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
314,KB1,ARQ,Default,200,0,1,25,0,0.2026,0.888889,7897.33
315,KB1,ARQ,Default,200,0,1,25,0,0.2025,0.888889,7901.23
316,KB1,ARQ,Default,200,0,1,25,0,0.2001,0.888889,7996
317,KB1,ARQ,Default,200,0,1,25,0,0.3899,0.888889,4103.62
318,KB1,ARQ,Default,200,0,1,25,0,0.2021,0.888889,7916.87
319,KB1,ARQ,Default,200,0,1,25,0,0.242,0.888889,6611.57
320,KB1,ARQ,Default,200,0,1,25,0,0.2063,0.888889,7755.7
321,KB1,ARQ,Default,200,0,1,25,0,0.4201,0.888889,3808.62
322,KB1,ARQ,Default,200,0,1,25,0,0.3742,0.888889,4275.79
323,KB1,ARQ,Default,200,0,1,25,0,0.3022,0.888889,5294.51
324,KB1,ARQ,Default,200,0,1,25,0,0.2866,0.888889,5582.69
325,KB1,ARQ,Default,200,0,1,25,0,0.2093,0.888889,7644.53
326,KB1,ARQ,Default,200,0,1,25,0,0.2217,0.888889,7216.96
327,KB1,ARQ,Default,200,0,1,25,0,0.2489,0.888889,6428.28
328,KB1,ARQ,Default,200,0,1,25,0,0.2034,0.888889,7866.27
329,KB1,ARQ,Default,200,0,1,25,0,0.2042,0.888889,7835.46
330,KB1,ARQ,Default,200,0,1,25,0,0.2009,0.888889,7964.16
331,KB1,ARQ,Default,200,0,1,25,0,0.2069,0.888889,7733.2
332,KB1,ARQ,Default,200,0,1,25,0,0.206,0.888889,7766.99
333,KB1,ARQ,Default,200,0,1,25,0,0.2024,0.888889,7905.14
334,KB1,ARQ,Default,200,0,1,25,0,0.2034,0.888889,7866.27
335,KB1,ARQ,Default,200,0,1,25,0,0.2031,0.888889,7877.89
336,KB1,ARQ,Default,200,0,1,25,0,0.2037,0.888889,7854.69
337,KB1,ARQ,Default,200,0,1,25,0,0.2045,0.888889,7823.96
338,KB1,ARQ,Default,200,0,1,25,0,0.2161,0.888889,7403.98
339,KB1,ARQ,Default,200,0,1,25,0,0.2449,0.888889,6533.28
340,KB1,ARQ,Default,200,0,1,25,0,0.2058,0.888889,7774.54
341,KB1,ARQ,Default,200,0,1,25,0,0.2062,0.888889,7759.46
342,KB1,ARQ,Default,200,0,1,25,0,0.2099,0.888889,7622.68
343,KB1,ARQ,Default,200,0,1,25,0,0.2052,0.888889,7797.27
344,KB1,ARQ,Default,200,0,1,25,0,0.2084,0.888889,7677.54
345,KB1,ARQ,Default,200,0,1,25,0,0.2452,0.888889,6525.29
346,KB1,ARQ,Default,200,0,1,25,0,0.2422,0.888889,6606.11
347,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
348,KB1,ARQ,Default,200,0,1,25,0,0.2133,0.888889,7501.17
349,KB1,ARQ,Default,200,0,1,25,0,0.2133,0.888889,7501.17
350,KB1,ARQ,Default,200,0,1,25,0,0.235,0.888889,6808.51
351,KB1,ARQ,Default,200,0,1,25,0,0.2484,0.888889,6441.22
352,KB1,ARQ,Default,200,0,1,25,0,0.289,0.888889,5536.33
353,KB1,ARQ,Default,200,0,1,25,0,0.2072,0.888889,7722.01
354,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
355,KB1,ARQ,Default,200,0,1,25,0,0.2035,0.888889,7862.41
356,KB1,ARQ,Default,200,0,1,25,0,0.2007,0.888889,7972.1
357,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
358,KB1,ARQ,Default,200,0,1,25,0,0.2029,0.888889,7885.66
