ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
1,KB1,ARQ,Default,200,0,1,25,0,0.233,0.888889,6866.95
2,KB1,ARQ,Default,200,0,1,25,0,0.2167,0.888889,7383.48
3,KB1,ARQ,Default,200,0,1,25,0,0.2156,0.888889,7421.15
4,KB1,ARQ,Default,200,0,1,25,0,0.2122,0.888889,7540.06
5,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
6,KB1,ARQ,Default,200,0,1,25,0,0.2016,0.888889,7936.51
7,KB1,ARQ,Default,200,0,1,25,0,0.2034,0.888889,7866.27
8,KB1,ARQ,Default,200,0,1,25,0,0.2029,0.888889,7885.66
9,KB1,ARQ,Default,200,0,1,25,0,0.2015,0.888889,7940.45
10,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
11,KB1,ARQ,Default,200,0,1,25,0,0.2021,0.888889,7916.87
12,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
13,KB1,ARQ,Default,200,0,1,25,0,0.2018,0.888889,7928.64
14,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
15,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
16,KB1,ARQ,Default,200,0,1,25,0,0.2,0.888889,8000
17,KB1,ARQ,Default,200,0,1,25,0,0.2,0.888889,8000
18,KB1,ARQ,Default,200,0,1,25,0,0.2008,0.888889,7968.13
19,KB1,ARQ,Default,200,0,1,25,0,0.2066,0.888889,7744.43
20,KB1,ARQ,Default,200,0,1,25,0,0.2022,0.888889,7912.96
21,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
22,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
23,KB1,ARQ,Default,200,0,1,25,0,0.2004,0.888889,7984.03
24,KB1,ARQ,Default,200,0,1,25,0,0.2003,0.888889,7988.02
25,KB1,ARQ,Default,200,0,1,25,0,0.2031,0.888889,7877.89
26,KB1,ARQ,Default,200,0,1,25,0,0.203,0.888889,7881.77
27,KB1,ARQ,Default,200,0,1,25,0,0.1991,0.888889,8036.16
28,KB1,ARQ,Default,200,0,1,25,0,0.202,0.888889,7920.79
29,KB1,ARQ,Default,200,0,1,25,0,0.1997,0.888889,8012.02
30,KB1,ARQ,Default,200,0,1,25,0,0.2419,0.888889,6614.3
31,KB1,ARQ,Default,200,0,1,25,0,0.2733,0.888889,5854.37
32,KB1,ARQ,Default,200,0,1,25,0,0.2022,0.888889,7912.96
33,KB1,ARQ,Default,200,0,1,25,0,0.2039,0.888889,7846.98
34,KB1,ARQ,Default,200,0,1,25,0,0.2039,0.888889,7846.98
35,KB1,ARQ,Default,200,0,1,25,0,0.2528,0.888889,6329.11
36,KB1,ARQ,Default,200,0,1,25,0,0.2061,0.888889,7763.22
37,KB1,ARQ,Default,200,0,1,25,0,0.2071,0.888889,7725.74
38,KB1,ARQ,Default,200,0,1,25,0,0.2039,0.888889,7846.98
39,KB1,ARQ,Default,200,0,1,25,0,0.2005,0.888889,7980.05
40,KB1,ARQ,Default,200,0,1,25,0,0.2006,0.888889,7976.07
41,KB1,ARQ,Default,200,0,1,25,0,0.2029,0.888889,7885.66
42,KB1,ARQ,Default,200,0,1,25,0,0.2112,0.888889,7575.76
43,KB1,ARQ,Default,200,0,1,25,0,0.2529,0.888889,6326.61
44,KB1,ARQ,Default,200,0,1,25,0,0.3319,0.888889,4820.73
45,KB1,ARQ,Default,200,0,1,25,0,0.2526,0.888889,6334.13
46,KB1,ARQ,Default,200,0,1,25,0,0.2967,0.888889,5392.65
47,KB1,ARQ,Default,200,0,1,25,0,0.2743,0.888889,5833.03
48,KB1,ARQ,Default,200,0,1,25,0,0.3261,0.888889,4906.47
49,KB1,ARQ,Default,200,0,1,25,0,0.2141,0.888889,7473.14
50,KB1,ARQ,Default,200,0,1,25,0,0.224,0.888889,7142.86
51,KB1,ARQ,Default,200,0,1,25,0,0.2123,0.888889,7536.5
52,KB1,ARQ,Default,200,0,1,25,0,0.2843,0.888889,5627.86
53,KB1,ARQ,Default,200,0,1,25,0,0.2026,0.888889,7897.33
54,KB1,ARQ,Default,200,0,1,25,0,0.2021,0.888889,7916.87
55,KB1,ARQ,Default,200,0,1,25,0,0.2017,0.888889,7932.57
56,KB1,ARQ,Default,200,0,1,25,0,0.1997,0.888889,8012.02
57,KB1,ARQ,Default,200,0,1,25,0,0.201,0.888889,7960.2
58,KB1,ARQ,Default,200,0,1,25,0,0.1993,0.888889,8028.1
