ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency_bits,efficiency_frames,throughput
1,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0508,0.740741,1,4251.97
2,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0353,0.740741,1,6118.98
3,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.034,0.740741,1,6352.94
4,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0337,0.740741,1,6409.5
5,KB4,ARQ,Size_Short,20,0.0001,1,3,1,0.0387,0.555556,0.75,7441.86
6,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0362,0.740741,1,5966.85
7,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0334,0.740741,1,6467.07
8,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0335,0.740741,1,6447.76
9,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0348,0.740741,1,6206.9
10,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0332,0.740741,1,6506.02
11,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0333,0.740741,1,6486.49
12,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.035,0.740741,1,6171.43
13,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0339,0.740741,1,6371.68
14,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0336,0.740741,1,6428.57
15,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0336,0.740741,1,6428.57
16,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0333,0.740741,1,6486.49
17,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0335,0.740741,1,6447.76
18,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.033,0.740741,1,6545.45
19,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0336,0.740741,1,6428.57
20,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0352,0.740741,1,6136.36
21,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0333,0.740741,1,6486.49
22,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0336,0.740741,1,6428.57
23,KB4,ARQ,Size_Short,20,0.0001,1,3,0,0.0366,0.740741,1,5901.64
