ID,scenario,scheme,message_label,msg_length,BER,state,total_frames,retransmission,time(ms),efficiency_bits,efficiency_frames,throughput
1,KB3,ARQ,Default,200,1e-05,1,25,0,0.3072,0.888889,1,5208.33
2,KB3,ARQ,Default,200,1e-05,1,25,0,0.2821,0.888889,1,5671.75
3,KB3,ARQ,Default,200,1e-05,1,25,0,0.2811,0.888889,1,5691.92
4,KB3,ARQ,Default,200,1e-05,1,25,0,0.2782,0.888889,1,5751.26
5,KB3,ARQ,Default,200,1e-05,1,25,0,0.2801,0.888889,1,5712.25
6,KB3,ARQ,Default,200,1e-05,1,25,0,0.2782,0.888889,1,5751.26
7,KB3,ARQ,Default,200,1e-05,1,25,0,0.281,0.888889,1,5693.95
8,KB3,ARQ,Default,200,1e-05,1,25,0,0.2801,0.888889,1,5712.25
9,KB3,ARQ,Default,200,1e-05,1,25,0,0.2841,0.888889,1,5631.82
10,KB3,ARQ,Default,200,1e-05,1,25,0,0.2785,0.888889,1,5745.06
11,KB3,ARQ,Default,200,1e-05,1,25,0,0.2779,0.888889,1,5757.47
12,KB3,ARQ,Default,200,1e-05,1,25,0,0.2775,0.888889,1,5765.77
13,KB3,ARQ,Default,200,1e-05,1,25,0,0.2411,0.888889,1,6636.25
14,KB3,ARQ,Default,200,1e-05,1,25,0,0.2014,0.888889,1,7944.39
15,KB3,ARQ,Default,200,1e-05,1,25,0,0.2025,0.888889,1,7901.23
16,KB3,ARQ,Default,200,1e-05,1,25,0,0.2038,0.888889,1,7850.83
17,KB3,ARQ,Default,200,1e-05,1,25,0,0.2061,0.888889,1,7763.22
18,KB3,ARQ,Default,200,1e-05,1,25,0,0.2065,0.888889,1,7748.18
19,KB3,ARQ,Default,200,1e-05,1,25,0,0.2406,0.888889,1,6650.04
20,KB3,ARQ,Default,200,1e-05,1,25,0,0.2072,0.888889,1,7722.01
21,KB3,ARQ,Default,200,1e-05,1,25,0,0.2128,0.888889,1,7518.8
22,KB3,ARQ,Default,200,1e-05,1,25,0,0.2115,0.888889,1,7565.01
23,KB3,ARQ,Default,200,1e-05,1,25,0,0.2129,0.888889,1,7515.27
24,KB3,ARQ,Default,200,1e-05,1,25,0,0.2023,0.888889,1,7909.05
25,KB3,ARQ,Default,200,1e-05,1,25,0,0.2006,0.888889,1,7976.07
26,KB3,ARQ,Default,200,1e-05,1,25,0,0.2,0.888889,1,8000
27,KB3,ARQ,Default,200,1e-05,1,25,0,0.2004,0.888889,1,7984.03
28,KB3,ARQ,Default,200,1e-05,1,25,0,0.1994,0.888889,1,8024.07
29,KB3,ARQ,Default,200,1e-05,1,25,0,0.2035,0.888889,1,7862.41
30,KB3,ARQ,Default,200,1e-05,1,25,0,0.1999,0.888889,1,8004
31,KB3,ARQ,Default,200,1e-05,1,25,0,0.201,0.888889,1,7960.2
32,KB3,ARQ,Default,200,1e-05,1,25,0,0.2005,0.888889,1,7980.05
33,KB3,ARQ,Default,200,1e-05,1,25,0,0.2027,0.888889,1,7893.44
34,KB3,ARQ,Default,200,1e-05,1,25,0,0.2016,0.888889,1,7936.51
35,KB3,ARQ,Default,200,1e-05,1,25,0,0.2019,0.888889,1,7924.72
36,KB3,ARQ,Default,200,1e-05,1,25,0,0.2005,0.888889,1,7980.05
37,KB3,ARQ,Default,200,1e-05,1,25,0,0.2003,0.888889,1,7988.02
38,KB3,ARQ,Default,200,1e-05,1,25,0,0.2001,0.888889,1,7996
39,KB3,ARQ,Default,200,1e-05,1,25,0,0.1998,0.888889,1,8008.01
40,KB3,ARQ,Default,200,1e-05,1,25,0,0.2032,0.888889,1,7874.02
41,KB3,ARQ,Default,200,1e-05,1,25,0,0.2003,0.888889,1,7988.02
42,KB3,ARQ,Default,200,1e-05,1,25,0,0.2003,0.888889,1,7988.02
43,KB3,ARQ,Default,200,1e-05,1,25,0,0.1996,0.888889,1,8016.03
44,KB3,ARQ,Default,200,1e-05,1,25,0,0.2015,0.888889,1,7940.45
45,KB3,ARQ,Default,200,1e-05,1,25,0,0.2057,0.888889,1,7778.32
46,KB3,ARQ,Default,200,1e-05,1,25,0,0.2013,0.888889,1,7948.34
47,KB3,ARQ,Default,200,1e-05,1,25,0,0.2018,0.888889,1,7928.64
48,KB3,ARQ,Default,200,1e-05,1,25,0,0.2783,0.888889,1,5749.19
49,KB3,ARQ,Default,200,1e-05,1,25,0,0.2301,0.888889,1,6953.5
50,KB3,ARQ,Default,200,1e-05,1,25,0,0.2053,0.888889,1,7793.47
51,KB3,ARQ,Default,200,1e-05,1,25,0,0.2136,0.888889,1,7490.64
52,KB3,ARQ,Default,200,1e-05,1,25,0,0.213,0.888889,1,7511.74
53,KB3,ARQ,Default,200,1e-05,1,25,0,0.2198,0.888889,1,7279.34
54,KB3,ARQ,Default,200,1e-05,1,25,0,0.2392,0.888889,1,6688.96
55,KB3,ARQ,Default,200,1e-05,1,25,0,0.2078,0.888889,1,7699.71
56,KB3,ARQ,Default,200,1e-05,1,25,0,0.2179,0.888889,1,7342.82
57,KB3,ARQ,Default,200,1e-05,1,25,0,0.2219,0.888889,1,7210.46
58,KB3,ARQ,Default,200,1e-05,1,25,0,0.2037,0.888889,1,7854.69
59,KB3,ARQ,Default,200,1e-05,1,25,0,0.2018,0.888889,1,7928.64
60,KB3,ARQ,Default,200,1e-05,1,25,0,0.2391,0.888889,1,6691.76
