ID,scheme,BER,state,total_frames,retransmission,time(ms),efficiency,throughput
8415,ARQ,0.03,1,50,87,0.4899,0.291971,3265.97
8416,ARQ,0.03,1,50,126,0.6058,0.227273,2641.14
8417,ARQ,0.03,1,50,88,0.4999,0.289855,3200.64
8418,ARQ,0.03,1,50,106,0.5411,0.25641,2956.94
8419,ARQ,0.03,1,50,127,0.6053,0.225989,2643.32
8420,ARQ,0.03,1,50,91,0.5067,0.283688,3157.69
8421,ARQ,0.03,1,50,118,0.5758,0.238095,2778.74
8422,ARQ,0.03,1,50,88,0.5511,0.289855,2903.28
8423,ARQ,0.03,1,50,154,0.6881,0.196078,2325.24
8424,ARQ,0.03,1,50,139,0.6324,0.21164,2530.04
8425,ARQ,0.03,1,50,113,0.5667,0.245399,2823.36
8426,ARQ,0.03,1,50,111,0.5733,0.248447,2790.86
8427,ARQ,0.03,1,50,110,0.553,0.25,2893.31
8428,ARQ,0.03,0,50,97,0.5212,0.272109,3069.84
8429,ARQ,0.03,1,50,138,0.6418,0.212766,2492.99
8430,ARQ,0.03,1,50,132,0.6221,0.21978,2571.93
8431,ARQ,0.03,0,50,135,0.6209,0.216216,2576.9
8432,ARQ,0.03,1,50,100,0.532,0.266667,3007.52
8433,ARQ,0.03,1,50,94,0.5095,0.277778,3140.33
8434,ARQ,0.03,1,50,107,0.5483,0.254777,2918.11
8435,ARQ,0.03,1,50,116,0.5726,0.240964,2794.27
8436,ARQ,0.03,1,50,109,0.5747,0.251572,2784.06
8437,ARQ,0.03,0,50,112,0.5645,0.246914,2834.37
8438,ARQ,0.03,1,50,107,0.5466,0.254777,2927.19
8439,ARQ,0.03,1,50,132,0.6154,0.21978,2599.94
8440,ARQ,0.03,1,50,124,0.5958,0.229885,2685.46
8441,ARQ,0.03,1,50,132,0.6127,0.21978,2611.39
8442,ARQ,0.03,1,50,114,0.5732,0.243902,2791.35
8443,ARQ,0.03,0,50,129,0.6108,0.223464,2619.52
8444,ARQ,0.03,1,50,77,0.4818,0.314961,3320.88
8445,ARQ,0.03,1,50,112,0.5682,0.246914,2815.91
8446,ARQ,0.03,1,50,126,0.6077,0.227273,2632.88
8447,ARQ,0.03,0,50,140,0.6459,0.210526,2477.16
8448,ARQ,0.03,0,50,114,0.573,0.243902,2792.32
8449,ARQ,0.03,1,50,113,0.575,0.245399,2782.61
8450,ARQ,0.03,1,50,116,0.5803,0.240964,2757.19
8451,ARQ,0.03,1,50,76,0.529,0.31746,3024.57
8452,ARQ,0.03,0,50,118,0.6085,0.238095,2629.42
8453,ARQ,0.03,1,50,135,0.6304,0.216216,2538.07
8454,ARQ,0.03,1,50,143,0.6519,0.207254,2454.36
8455,ARQ,0.03,1,50,86,0.4908,0.294118,3259.98
8456,ARQ,0.03,1,50,151,0.6648,0.199005,2406.74
8457,ARQ,0.03,1,50,69,0.4451,0.336134,3594.7
8458,ARQ,0.03,1,50,112,0.5563,0.246914,2876.15
8459,ARQ,0.03,1,50,113,0.6043,0.245399,2647.69
8460,ARQ,0.03,1,50,101,0.5439,0.264901,2941.72
8461,ARQ,0.03,1,50,140,0.6433,0.210526,2487.18
8462,ARQ,0.03,1,50,90,0.5018,0.285714,3188.52
8463,ARQ,0.03,1,50,90,0.4964,0.285714,3223.21
8464,ARQ,0.03,1,50,109,0.5573,0.251572,2870.99
8465,ARQ,0.03,0,50,133,0.6221,0.218579,2571.93
